outfit_id,gender,wear_type,occasion,theme,hero,hero_id,second,second_id,layer,layer_id,footwear,footwear_id,accessory_1,accessory_1_id,accessory_2,accessory_2_id,palette,items_count,total_price_inr,image_files,stylist_rationale
outfit W1,women,western,party,Black cocktail,Women Bodycon Midi Length Dress (Fyre Rose),ajio_703182002,,,,,Classic Women's Heels (Lavie),myntra_42540276,Sparkle Framed Clutch (Lavie),myntra_15660676,,,black / red,3,2313,images/ajio/703182002.jpg;images/myntra/42540276.jpg;images/myntra/15660676.jpg,"Black midi with a gold chain waist detail; gold crystal slingback pumps echo that hardware, and a soft blush box clutch keeps the eye on the dress."
outfit W2,women,western,party,Wine bodycon evening,Bodycon Midi Dress (MULVARI),myntra_41733768,,,,,Open Toe Kitten Heel Sandals (Mochi),myntra_31751105,Women Embellished Clutch with Lock (Rubans),ajio_701677398,,,maroon / red / white,3,1977,images/myntra/41733768.jpg;images/myntra/31751105.jpg;images/ajio/701677398.jpg,Sleek wine square-neck bodycon; nude-tan kitten sandals lengthen the line and a silver sparkle clutch adds just enough shine.
outfit W3,women,western,party,"Magenta slip, night out",Ruched Asymmetrical Midi Dress (MANGO),myntra_34682942,,,,,Women Stiletto Pumps (Shoetopia),myntra_32069236,Sling Bag with Quilted (Exotic),myntra_24130018,,,red / white / black,3,3870,images/myntra/34682942.jpg;images/myntra/32069236.jpg;images/myntra/24130018.jpg,Magenta ruched slip dress with white pointed ankle-booties for an edgy contrast; a black quilted chain sling grounds the brights.
outfit W4,women,ethnic,festive,Dusty-blue Anarkali,Women Embellished Anarkali Kurta Suit Set (SVARAA),ajio_702454568,,,,,Women Malak Brown Solid Juttis (YASSIO),nykaa_24377703,Women Stone-Studded Necklace & Earrings Set (VATSALYA),ajio_700825576,Women PU Clutches (ESBEDA),myntra_39451752,grey / brown / pink / black,4,3894,images/ajio/702454568.jpg;images/nykaa/24377703.jpg;images/ajio/700825576.jpg;images/myntra/39451752.jpg,"Dusty blue-grey anarkali with gold embroidery; brown silver-trimmed juttis and a silver stone necklace stay tonal, black clutch finishes it."
outfit W5,women,ethnic,wedding,Red Banarasi saree,Women Floral Woven Banarasi Silk Saree (Styleelite),ajio_467147176,,,,,Women Fusion Embellished Juttis (DFR),ajio_703351510,Gold-Plated Jewellery Set (PANASH),myntra_7451803,Embroidered Potli Clutch (Anouk),myntra_41578752,red / cream / white,4,5066,images/ajio/467147176.jpg;images/ajio/703351510.jpg;images/myntra/7451803.jpg;images/myntra/41578752.jpg,"Classic red Banarasi silk with gold zari; gold embellished juttis, a gold-kundan red-stone set and a gold pearl potli all pick up the zari — full traditional bridal-guest look."
outfit W6,women,ethnic,festive,Purple sharara set,Women Elegance Sharara Kurta Set (Nyrika),ajio_703450523,,,,,Party Block Pumps with Buckles (CHINRAAG),myntra_38487469,Drop Earrings (Zaveri Pearls),myntra_625852,,,purple / red / white,3,2338,images/ajio/703450523.jpg;images/myntra/38487469.jpg;images/myntra/625852.jpg,"Deep-purple embellished sharara set; wine block pumps with a gold buckle sit in the same rich family, kept light with simple drop earrings."
outfit W7,women,western,office,Navy-floral workwear,Women Navy Blue Print Long Sleeves Formal Shirt (Van Heusen),nykaa_21896203,Women Olive Green High Rise Formal Trousers (Powersutra),nykaa_19331662,Single-Breasted Formal Blazers (Van Heusen Woman),myntra_30441198,Bow Detail Kitten Heel Pumps (Carlton London),myntra_26814366,Shopper Shoulder Bag (MANGO),myntra_36090580,,,navy / green / white / olive,5,8358,images/nykaa/21896203.jpg;images/nykaa/19331662.jpg;images/myntra/30441198.jpg;images/myntra/26814366.jpg;images/myntra/36090580.jpg,"Navy floral satin shirt with olive wide-leg trousers and a navy blazer — muted, grown-up palette; cream bow kitten pumps and an olive tote keep it boardroom-neat."
outfit W8,women,western,casual,Light-denim day,Floral Print Peplum Top (Anouk Mirage),myntra_39522716,Women Straight Fit High-Rise Jeans (U.S. Polo Assn. Women),myntra_41163758,,,Women Lace-Up Fastening Sneakers (Forever Glam by Pantaloons),ajio_703187803,Sling Bag with Quilted (Exotic),myntra_24130018,Brown UV Protection Oval Full Rim Casual Women Sunglass - VS 2301-Gold-BRN (40) (HASHTAG EYEWEAR),nykaa_22909654,white / blue / cream / black / brown,5,4825,images/myntra/39522716.jpg;images/myntra/41163758.jpg;images/ajio/703187803.jpg;images/myntra/24130018.jpg;images/nykaa/22909654.jpg,Cream floral peplum top with light wide-leg jeans and cream sneakers — easy and bright; black sling (a staple) and sunglasses for daytime.
outfit W9,women,western,vacation,Navy-floral maxi,Women Floral Print Maxi Fit & Flare Dress (LEIA),ajio_701467182,,,,,Women Slip-On Flat Sandals (JM LOOKS),ajio_702390240,Shopper Shoulder Bag (MANGO),myntra_36090580,Brown UV Protection Oval Full Rim Casual Women Sunglass - VS 2301-Gold-BRN (40) (HASHTAG EYEWEAR),nykaa_22909654,navy / brown / olive,4,3607,images/ajio/701467182.jpg;images/ajio/702390240.jpg;images/myntra/36090580.jpg;images/nykaa/22909654.jpg,"Flowy navy maxi printed with cream lilies; flat brown sandals and an olive tote (staple) make it walkable, sunglasses for the sun."
outfit W10,women,western,party,Mocha satin co-ord,Women 2-Piece Co-Ord Set (Lulu & Sky),ajio_703543037,,,,,Women Slip-On Flat Sandals (JM LOOKS),ajio_702390240,Sling Bag with Quilted (Exotic),myntra_24130018,,,brown / black,3,4491,images/ajio/703543037.jpg;images/ajio/702390240.jpg;images/myntra/24130018.jpg,A matching mocha satin cami + wrap skirt does the coordinating; tonal brown sandals and the black sling keep it sleek for dinner.
outfit W11,women,western,sports,Athleisure,"Zen Round Neck Tank Top for Women, 4 Way Stretchable (Hunnit)",nykaa_19356700,Ultimate Cotton Flare Leggings with Anti-Slip Waist & Pockets NYAT503 Jet Black (Nykd by Nykaa),nykaa_13632320,,,Women Lace-Up Fastening Sneakers (Forever Glam by Pantaloons),ajio_703187803,,,,,tan / black / cream,3,3433,images/nykaa/19356700.jpg;images/nykaa/13632320.jpg;images/ajio/703187803.jpg,"Blue tank over black flare leggings with cushioned cream sneakers — a clean, move-ready set."
outfit W12,women,western,winter,Grey-coat layers,Open Knit Pullover Sweater (Roadster),myntra_11990814,Women Straight Fit High-Rise Jeans (U.S. Polo Assn. Women),myntra_41163758,Button Closure Long Coat (Cantabil),ajio_702780607,Solid Black Chunky Boots (DressBerry),myntra_41756001,,,,,red / blue / grey / black,4,8032,images/myntra/11990814.jpg;images/myntra/41163758.jpg;images/ajio/702780607.jpg;images/myntra/41756001.jpg,"Rust waffle-knit sweater and light jeans under a grey long coat, finished with black chunky boots — warm, autumnal, well-proportioned."
outfit W13,women,western,casual,Maroon shirt + denim skirt,Formal Shirt (Chemistry),myntra_30308778,Women Solid Bright Blue Bonnet Midi Skirt (KOTTY),nykaa_21742536,,,Women Lace-Up Fastening Sneakers (Forever Glam by Pantaloons),ajio_703187803,Sling Bag with Quilted (Exotic),myntra_24130018,,,maroon / blue / cream / black,4,3401,images/myntra/30308778.jpg;images/nykaa/21742536.jpg;images/ajio/703187803.jpg;images/myntra/24130018.jpg,Maroon utility shirt with a light-denim midi skirt and cream sneakers — relaxed colour-pop casual; black sling staple.
outfit W14,women,western,party,Blush statement maxi,Marquee White Sequin Printed Dress (VERO MODA),nykaa_20942213,,,,,Open Toe Kitten Heel Sandals (Mochi),myntra_31751105,Sparkle Framed Clutch (Lavie),myntra_15660676,,,white / red,3,6023,images/nykaa/20942213.jpg;images/myntra/31751105.jpg;images/myntra/15660676.jpg,Blush printed slip maxi; nude-tan kitten heels (staple) and the blush box clutch keep everything soft and tonal so the print leads.
outfit W15,women,ethnic,festive,Navy kurta suit set,Women Embroidered Straight Kurta Suit Set (SVARAA),ajio_702733799,,,,,Women Malak Brown Solid Juttis (YASSIO),nykaa_24377703,Women Stone-Studded Necklace & Earrings Set (VATSALYA),ajio_700825576,,,navy / brown / pink,3,2447,images/ajio/702733799.jpg;images/nykaa/24377703.jpg;images/ajio/700825576.jpg,Navy straight kurta suit with its own dupatta and gold neckwork; brown juttis and a silver set (staples) keep it understated and festive.
outfit M1,men,western,casual,Navy smart-casual,Slim Fit Casual Shirt (Aldeno),myntra_38692620,Tea Green Men Chinos (The Souled Store),nykaa_24178529,,,Men Slip-On Formal Shoes (REGAL),ajio_702013278,Men Analogue Watch-NU1825SL16 (TITAN),ajio_4935353720,,,navy / green / brown / red,4,8485,images/myntra/38692620.jpg;images/nykaa/24178529.jpg;images/ajio/702013278.jpg;images/ajio/4935353720.jpg,Navy casual shirt with sage chinos and brown bit-loafers — a crisp earthy combo; a green-dial leather watch finishes it.
outfit M2,men,western,vacation,Sage linen summer,Men Regular Fit Linen Shirt (NEONOMAD),ajio_703306501,Mens Navy Blue Pure Cotton Ultra Light Lounge Shorts (DaMENSCH),nykaa_25523123,,,Men Double-Strap Slip-On Sandals (SPYKAR),ajio_700692049,ANIME - Men Baseball Caps (BEWAKOOF),ajio_702546309,,,green / navy / olive,4,3199,images/ajio/703306501.jpg;images/nykaa/25523123.jpg;images/ajio/700692049.jpg;images/ajio/702546309.jpg,Sage linen shirt with navy cotton shorts and olive double-strap sandals; an olive cap pulls the greens together for vacation.
outfit M3,men,western,wedding,Navy tailored suit,Men Regular Fit 2-Piece Suit Set (ARROW),ajio_469618352,Cotton Slim Fit Formal Shirt (Arrow),myntra_28569210,,,Men Formal Lace-Up Shoes with Faux Leather Upper (KOSHER),ajio_700917335,Men Water-Resistant Analogue Watch-90200SL04 (TITAN),ajio_4934125790,,,grey / white / black / red,4,15296,images/ajio/469618352.jpg;images/myntra/28569210.jpg;images/ajio/700917335.jpg;images/ajio/4934125790.jpg,Navy two-piece over a white shirt with black derby shoes and a steel watch — sharp and ceremony-ready (navy + black is foolproof).
outfit M4,men,western,office,Crisp office formal,Cotton Slim Fit Formal Shirt (Arrow),myntra_28569210,Men Slim Fit Trousers (Raymond),myntra_23237806,,,Men Patterned Low-Top Loafers (U.S. Polo Assn.),ajio_469683825,Men Water-Resistant Analogue Watch-90200SL04 (TITAN),ajio_4934125790,,,white / red / black,4,11630,images/myntra/28569210.jpg;images/myntra/23237806.jpg;images/ajio/469683825.jpg;images/ajio/4934125790.jpg,White formal shirt (a staple) with light-grey trousers and black driving loafers; steel watch — clean desk-to-meeting formal.
outfit M5,men,western,sports,Athleisure,Men Oversized Fit Crew-Neck Sweatshirt (DNMX),ajio_443087217,Track Pants with Elasticated Drawstrings (Jack & Jones),ajio_464835118,,,Men Softride Carson Fresh Running Shoes (Puma),ajio_469763526,ANIME - Men Baseball Caps (BEWAKOOF),ajio_702546309,,,grey / brown / green / olive,4,3820,images/ajio/443087217.jpg;images/ajio/464835118.jpg;images/ajio/469763526.jpg;images/ajio/702546309.jpg,"Charcoal sweatshirt with maroon track pants and olive running shoes; cap on top — comfortable, tonal and sporty."
outfit M6,men,ethnic,festive,Cream kurta + Nehru,Roman Silk Embroidery Kurta (House of Pataudi),myntra_40399611,,,Cotton Woven Nehru Jacket (Fabindia),myntra_38200553,Men Elevator Casual Heeled Slip-on Traditional Jutti (BXXY),ajio_464207650,Men Analogue Watch-NU1825SL16 (TITAN),ajio_4935353720,,,black / navy / brown / red,4,6164,images/myntra/40399611.jpg;images/myntra/38200553.jpg;images/ajio/464207650.jpg;images/ajio/4935353720.jpg,Cream printed kurta set sharpened with a navy Nehru jacket and brown mojaris — the navy adds structure to the festive cream.
outfit M7,men,ethnic,wedding,Ivory sherwani,Men Texture Solid Indowestern Sherwani Churidar with Dupatta Set (KISAH),ajio_466576129,,,,,Men Elevator Casual Heeled Slip-on Traditional Jutti (BXXY),ajio_464207650,Men Water-Resistant Analogue Watch-90200SL04 (TITAN),ajio_4934125790,,,beige / brown / red,3,16896,images/ajio/466576129.jpg;images/ajio/464207650.jpg;images/ajio/4934125790.jpg,"Ivory sherwani with a maroon-printed dupatta and brown mojaris (staple) — classic wedding formality, warm neutral palette."
outfit M8,men,western,casual,Lavender polo day,Polo Collar Cotton T-shirt (XYXX),myntra_29132512,Blue Slim Fit Mid Rise Jeans (AD By Arvind),nykaa_21046502,,,Men Softride Carson Fresh Running Shoes (Puma),ajio_469763526,ANIME - Men Baseball Caps (BEWAKOOF),ajio_702546309,,,blue / green / olive,4,4867,images/myntra/29132512.jpg;images/nykaa/21046502.jpg;images/ajio/469763526.jpg;images/ajio/702546309.jpg,Dusty-lavender polo with blue jeans and olive running shoes (staple); cap for an easy weekend look — soft colour against denim.
outfit M9,men,western,casual,Denim-jacket street,Unisex Cotton T-shirt (Rigo),myntra_42184814,Tea Green Men Chinos (The Souled Store),nykaa_24178529,Signature Denim Jacket (Bonkers Corner),nykaa_22006528,Men Ankle-Length Chelsea Boots with Lace Fastening (BUCIK),ajio_701984081,,,,,navy / green / brown,4,4947,images/myntra/42184814.jpg;images/nykaa/24178529.jpg;images/nykaa/22006528.jpg;images/ajio/701984081.jpg,White tee under a black graphic denim jacket with sage chinos (staple) and brown work boots — relaxed streetwear with grounding browns.
outfit M10,men,western,party,Black party shirt,Textured Spread Collar Shirt (Instafab Plus),myntra_36794231,Men Slim Fit Trousers (Raymond),myntra_23237806,,,Men Patterned Low-Top Loafers (U.S. Polo Assn.),ajio_469683825,Men Water-Resistant Analogue Watch-90200SL04 (TITAN),ajio_4934125790,,,black / red,4,11596,images/myntra/36794231.jpg;images/myntra/23237806.jpg;images/ajio/469683825.jpg;images/ajio/4934125790.jpg,Black textured party shirt with grey trousers and black loafers (staples) plus a steel watch — sleek monochrome for evening.
